Entity,Code,Year,production_per_capita_kg,consumption_per_capita_kg,overfishing_per_capita_kg
Afghanistan,AFG,2020,0.2585171283466898,0.35999995,-0.1014828216533102
Albania,ALB,2020,5.226412289067606,8.44,-3.213587710932394
Algeria,DZA,2020,2.3813582156506503,3.8200002,-1.4386419843493496
Angola,AGO,2020,12.292256706348423,13.709999,-1.4177422936515764
Antigua and Barbuda,ATG,2020,34.507532874684316,54.902893,-20.395360125315683
Argentina,ARG,2020,18.33711129147751,6.81,11.52711129147751
Armenia,ARM,2020,6.31984431113697,5.69,0.6298443111369698
Australia,AUS,2020,10.153906260955312,24.519999,-14.366092739044683
Austria,AUT,2020,0.5156140256878907,14.45,-13.934385974312107
Azerbaijan,AZE,2020,0.1650013317964637,2.0199997,-1.8549983682035365
Bahamas,BHS,2020,24.93217538913897,27.199465,-2.267289610861031
Bahrain,BHR,2020,10.120822800642715,20.999886,-10.879063199357285
Bangladesh,BGD,2020,26.363632558857105,26.280003,0.0836295588571012
Barbados,BRB,2020,5.395715376013915,42.53788,-37.14216462398608
Belarus,BLR,2020,1.0961461319997352,11.789994,-10.693847868000264
Belgium,BEL,2020,1.8578690328847152,24.240007,-22.382137967115284
Belize,BLZ,2020,546.8004370309529,17.63951,529.160927030953
Benin,BEN,2020,6.061895139848985,16.119999,-10.058103860151014
Bhutan,BTN,2020,0.2857090910035402,6.339984,-6.05427490899646
Bolivia,BOL,2020,0.9673078713302812,2.7399979,-1.772690028669719
Bosnia and Herz.,BIH,2020,1.2911626282979205,7.3,-6.0088373717020795
Botswana,BWA,2020,0.0295871118540763,2.3899963,-2.3604091881459235
Brazil,BRA,2020,6.2775553314758215,8.07,-1.7924446685241788
Bulgaria,BGR,2020,3.8709748135687185,7.109999,-3.2390241864312816
Burkina Faso,BFA,2020,1.1737213793093173,8.66,-7.486278620690683
Burundi,BDI,2020,1.7381253070252125,2.5300002,-0.7918748929747874
Cambodia,KHM,2020,57.82195096081536,44.389988,13.431962960815357
Cameroon,CMR,2020,11.424781899024996,18.77,-7.3452181009750035
Canada,CAN,2020,24.762455503591504,20.670004,4.092451503591505
Cape Verde,CPV,2020,33.20484025149412,9.569901,23.634939251494117
Central African Rep.,CAF,2020,5.797125668116744,6.579995,-0.7828693318832567
Chad,TCD,2020,6.217239966942792,6.5099974,-0.2927574330572078
Chile,CHL,2020,173.27582562023443,14.629994,158.64583162023442
China,CHN,2020,43.64450915815917,39.91,3.7345091581591703
Colombia,COL,2020,5.38080221493989,8.880001,-3.49919878506011
Comoros,COM,2020,21.94043172785886,17.680044,4.260387727858863
Congo,COG,2020,12.35574176082531,23.679947,-11.324205239174688
Costa Rica,CRI,2020,7.321739189162078,17.769976,-10.448236810837924
C̫te d'Ivoire,CIV,2020,3.912786837985448,22.009998,-18.097211162014553
Croatia,HRV,2020,21.244540595661512,20.00999,1.2345505956615137
Cuba,CUB,2020,4.080044386588143,6.080003,-1.9999586134118568
Cyprus,CYP,2020,7.356498368208869,24.85,-17.493501631791133
Czechia,CZE,2020,2.3421512341554087,10.639999,-8.29784776584459
Dem. Rep. Congo,COD,2020,2.5138035473883065,4.0199995,-1.5061959526116937
Denmark,DNK,2020,114.74347212481116,23.030008,91.71346412481115
Djibouti,DJI,2020,2.053938041646987,3.8999932,-1.8460551583530131
Dominica,DMA,2020,11.540339404340942,23.746372,-12.20603259565906
Dominican Republic,DOM,2020,1.5479233527220424,8.369994,-6.8220706472779575
East Timor,TLS,2020,2.526298008145991,6.50996,-3.9836619918540097
Ecuador,ECU,2020,74.30899863661683,6.6000013,67.70899733661683
Egypt,EGY,2020,18.65240616899479,25.740002,-7.087595831005206
El Salvador,SLV,2020,9.374979950855536,7.239995,2.134984950855536
Estonia,EST,2020,66.00114012908428,13.059912,52.94122812908428
eSwatini,SWZ,2020,0.1425298034010964,4.189954,-4.047424196598904
Ethiopia,ETH,2020,0.4997575171145085,0.5299999,-0.0302423828854914
Fiji,FJI,2020,52.49352437784845,29.279682,23.21384237784845
Finland,FIN,2020,32.40911621907991,31.900013,0.5091032190799112
France,FRA,2020,10.266401597335012,33.63,-23.36359840266499
French Polynesia,PYF,2020,49.2086856553458,46.397697,2.8109886553458026
Gabon,GAB,2020,12.50787931812467,31.769821,-19.261941681875328
Gambia,GMB,2020,22.35124082577559,23.649862,-1.2986211742244045
Georgia,GEO,2020,66.97087214939089,10.609994,56.360878149390885
Germany,DEU,2020,3.1705618420927233,13.17,-9.999438157907276
Ghana,GHA,2020,13.966155897673849,24.079998,-10.113842102326153
Greece,GRC,2020,19.800231228567664,21.529997,-1.7297657714323371
Grenada,GRD,2020,22.6036286129279,30.777016,-8.1733873870721
Guatemala,GTM,2020,2.7268017185361044,3.480001,-0.7531992814638957
Guinea,GIN,2020,27.147926358370427,11.199994,15.947932358370426
Guinea-Bissau,GNB,2020,3.337871580358017,1.1499949,2.1878766803580163
Guyana,GUY,2020,48.7066664850332,25.669775,23.036891485033195
Haiti,HTI,2020,1.5928711943518976,5.039998,-3.447126805648102
High-income countries,,2020,23.673333279453747,26.403797,-2.730463720546254
Honduras,HND,2020,7.9064100817055,4.619999,3.2864110817055003
Hong Kong,HKG,2020,16.918015978126203,65.780045,-48.862029021873795
Hungary,HUN,2020,2.26679221208149,6.2999997,-4.03320748791851
Iceland,ISL,2020,2562.2569048567207,88.5771,2473.6798048567207
India,IND,2020,9.44926053306905,8.03,1.4192605330690498
Indonesia,IDN,2020,48.86678909769597,44.709995,4.156794097695965
Iran,IRN,2020,14.646483449817966,12.149999,2.4964844498179666
Iraq,IRQ,2020,1.4801763219085755,2.9162467,-1.4360703780914243
Ireland,IRL,2020,49.53634685798831,20.239988,29.296358857988313
Israel,ISR,2020,2.158997924975731,22.910007,-20.75100907502427
Italy,ITA,2020,5.476963230689261,29.390001,-23.91303776931074
Jamaica,JAM,2020,5.168248935086369,27.660019,-22.49177006491363
Japan,JPN,2020,29.785074385610347,44.89,-15.104925614389654
Jordan,JOR,2020,0.2043214727786275,4.8299985,-4.625677027221373
Kazakhstan,KAZ,2020,2.6988853418753207,3.7199981,-1.0211127581246795
Kenya,KEN,2020,2.7601949061850677,2.95,-0.1898050938149325
Kiribati,KIR,2020,1784.4738720164935,75.74221,1708.7316620164934
Kuwait,KWT,2020,0.7317938995660599,14.389964,-13.65817010043394
Kyrgyzstan,KGZ,2020,0.4036528633393466,0.8699987,-0.4663458366606534
Laos,LAO,2020,25.03221587652298,25.93001,-0.8977941234770199
Latvia,LVA,2020,58.65492901812038,24.29991,34.35501901812037
Lebanon,LBN,2020,0.6400812570003407,8.969994,-8.329912742999658
Lesotho,LSO,2020,1.1852967737116382,2.849995,-1.6646982262883616
Liberia,LBR,2020,3.266354932380433,4.269999,-1.0036440676195673
Libya,LBY,2020,4.6072588598184,20.439981,-15.832722140181598
Lithuania,LTU,2020,37.97528119306122,28.86001,9.115271193061222
Low-income countries,,2020,4.22818709846296,5.169853,-0.94166590153704
Lower-middle-income countries,,2020,14.37491528660473,12.422002,1.9529132866047296
Luxembourg,LUX,2020,0.0,32.09995,-32.09995
Macao,MAC,2020,2.195958557870096,70.26927,-68.0733114421299
Madagascar,MDG,2020,4.121082174350926,3.8799999,0.241082274350926
Malawi,MWI,2020,8.353688559460211,9.820001,-1.466312440539788
Malaysia,MYS,2020,49.72594063274068,53.33,-3.6040593672593175
Maldives,MDV,2020,268.9956923248501,81.52826,187.4674323248501
Mali,MLI,2020,5.358333917830007,8.699999,-3.341665082169994
Malta,MLT,2020,12.099271921005457,31.419756,-19.320484078994543
Mauritania,MRT,2020,156.7019228783503,8.47999,148.2219328783503
Mauritius,MUS,2020,29.13741106426751,28.849998,0.2874130642675148
Mexico,MEX,2020,14.389618622700745,13.95,0.4396186227007437
Micronesia (country),FSM,2020,1660.3113647222146,48.6061,1611.705264722215
Moldova,MDA,2020,4.137973728754193,14.54626,-10.408286271245808
Mongolia,MNG,2020,0.0091163575411117,1.08,-1.0708836424588883
Montenegro,MNE,2020,3.8655384777344985,15.549802,-11.684263522265502
Morocco,MAR,2020,39.90574293695247,18.52,21.38574293695247
Mozambique,MOZ,2020,12.821077138750608,13.469999,-0.6489218612493914
Myanmar,MMR,2020,57.21348202282213,40.88,16.333482022822125
Namibia,NAM,2020,171.3010620563237,11.510005,159.7910570563237
Nauru,NRU,2020,2871.83883411916,44.74459,2827.09424411916
Nepal,NPL,2020,3.184704360355668,3.4900005,-0.3052961396443319
Netherlands,NLD,2020,20.79240076903136,19.799997,0.992403769031359
New Caledonia,NCL,2020,17.55892267740142,23.039036,-5.48011332259858
New Zealand,NZL,2020,103.72605496802396,25.15,78.57605496802398
Nicaragua,NIC,2020,12.403151311287113,6.55,5.853151311287111
Niger,NER,2020,1.7037970176932635,1.8499998,-0.1462027823067362
Nigeria,NGA,2020,5.208317123932293,8.59,-3.381682876067707
North Korea,PRK,2020,10.914316797476369,11.5599985,-0.6456817025236319
North Macedonia,MKD,2020,1.2553277981390163,6.779975,-5.524647201860984
Norway,NOR,2020,699.3954946336625,50.380035,649.0154596336624
Oman,OMN,2020,128.30063352086222,31.279959,97.02067452086222
Pakistan,PAK,2020,2.7627454661049047,1.47,1.2927454661049047
Panama,PAN,2020,55.6151062899085,15.460032,40.155074289908505
Papua New Guinea,PNG,2020,29.375265708416716,13.409998,15.965267708416716
Paraguay,PRY,2020,4.382363817362943,5.0799923,-0.6976284826370565
Peru,PER,2020,151.31472205128506,26.829994,124.48472805128506
Philippines,PHL,2020,25.980790314199773,28.389997,-2.4092066858002283
Poland,POL,2020,6.710852910474848,11.240001,-4.529148089525151
Portugal,PRT,2020,19.05690544513732,59.360027,-40.303121554862685
Qatar,QAT,2020,6.114063308735584,23.77,-17.655936691264415
Romania,ROU,2020,1.2262492207670923,8.04,-6.813750779232906
Russia,RUS,2020,35.60725531064346,21.76,13.847255310643458
Rwanda,RWA,2020,1.895017993104002,4.4899974,-2.594979406895998
Saint Kitts and Nevis,KNA,2020,14.073694984646878,35.7305,-21.65680501535312
Saint Lucia,LCA,2020,10.434138706727776,33.549065,-23.114926293272223
Saint Vincent and the Grenadines,VCT,2020,16.998261541433262,19.467394,-2.4691324585667367
Samoa,WSM,2020,51.04784910218062,44.989162,6.05868710218062
Sao Tome and Principe,STP,2020,27.6846524932283,27.078762,0.6058904932282978
Saudi Arabia,SAU,2020,4.611308272782552,11.36,-6.748691727217447
Senegal,SEN,2020,30.644077165013375,17.34,13.304077165013377
Serbia,SRB,2020,1.3535390413498216,7.9599996,-6.606460558650178
Seychelles,SYC,2020,1125.7782691460443,52.012608,1073.7656611460443
Sierra Leone,SLE,2020,25.5530512382974,24.699991,0.8530602382973989
Slovakia,SVK,2020,0.8340928772501259,10.189998,-9.355905122749874
Slovenia,SVN,2020,1.151055046591569,12.969951,-11.81889595340843
Solomon Is.,SLB,2020,93.256342787912,35.27959,57.976752787912005
South Africa,ZAF,2020,7.477745175577166,6.51,0.967745175577166
South Korea,KOR,2020,37.637817383000815,55.630005,-17.992187616999182
S. Sudan,SSD,2020,2.9929513285544567,3.0800018,-0.0870504714455431
Spain,ESP,2020,24.912812601445623,40.22,-15.307187398554372
Sri Lanka,LKA,2020,23.919626650471745,29.290007,-5.370380349528254
Sudan,SDN,2020,1.0861472265512686,1.1400001,-0.0538528734487313
Suriname,SUR,2020,61.340275214674634,17.270058,44.070217214674635
Sweden,SWE,2020,18.915013792197556,31.160006,-12.244992207802444
Switzerland,CHE,2020,0.3969640008045754,16.020002,-15.623037999195429
Syria,SYR,2020,0.301195832969903,1.8399998,-1.538803967030097
Taiwan,TWN,2020,43.98638238026054,29.760004,14.226378380260538
Tajikistan,TJK,2020,0.2512998355781076,0.6499999,-0.3987000644218924
Tanzania,TZA,2020,8.555290087460472,6.91,1.645290087460472
Thailand,THA,2020,34.98992287764447,28.709995,6.279927877644468
Togo,TGO,2020,3.060075052002821,9.159997,-6.09992194799718
Trinidad and Tobago,TTO,2020,8.804707007169354,18.490097,-9.685389992830643
Tunisia,TUN,2020,10.916933924990175,13.24,-2.323066075009825
Turkey,TUR,2020,9.695012263146277,5.52,4.175012263146277
Turkmenistan,TKM,2020,2.171249576433669,2.539999,-0.3687494235663311
Uganda,UGA,2020,15.884284437582808,14.77,1.114284437582807
Ukraine,UKR,2020,2.239927928394106,13.680003,-11.440075071605891
United Arab Emirates,ARE,2020,8.066864164781629,26.480011,-18.41314683521837
United Kingdom,GBR,2020,12.572778242501396,18.13,-5.5572217574986045
United States of America,USA,2020,15.586259421385094,22.429998,-6.843738578614907
Upper-middle-income countries,,2020,35.46571434835587,29.913961,5.5517533483558665
Uruguay,URY,2020,20.03844109107267,9.220009,10.81843209107267
Uzbekistan,UZB,2020,3.624088960843999,4.03,-0.4059110391560008
Vanuatu,VUT,2020,149.4305178205763,30.879602,118.55091582057632
Venezuela,VEN,2020,10.600800630626876,10.179997,0.4208036306268745
Vietnam,VNM,2020,80.25443030752413,39.84,40.41443030752413
World,OWID_WRL,2020,22.375335523021324,20.20232,2.1730155230213235
Yemen,YEM,2020,3.633886250809052,2.6000004,1.0338858508090525
Zambia,ZMB,2020,7.132440457842445,12.690002,-5.557561542157555
Zimbabwe,ZWE,2020,1.8825407898865505,1.9800009,-0.0974601101134498
